Frame Time(us);Execution Time(us);Memory(bytes);State Size(bytes);Nodes;Objects
16389;0;24983900;5907;332;1441
16923;0;24983900;5907;332;1441
16299;0;24983900;5907;332;1441
16907;0;24983900;5907;332;1441
16473;0;24984276;5907;332;1441
16835;0;24984276;5907;332;1441
16455;0;24984276;5907;332;1441
17117;0;24984148;5907;332;1441
16265;0;24984148;5907;332;1441
16871;0;24984148;5907;332;1441
16510;0;24984148;5907;332;1441
16715;0;24984588;5907;332;1441
16678;0;24984588;5907;332;1441
16658;0;24984588;5907;332;1441
16542;0;24984588;5907;332;1441
16879;0;25000972;5907;332;1441
16490;0;25000972;5907;332;1441
16931;0;25000972;5907;332;1441
16461;0;25000972;5907;332;1441
16900;0;24998764;5907;332;1441
16537;0;24998764;5907;332;1441
16650;0;24998764;5907;332;1441
16510;0;24998764;5907;332;1441
16831;0;24998572;5907;332;1441
16522;0;24998572;5907;332;1441
16823;0;24998068;5907;332;1441
16472;0;24998068;5907;332;1441
16845;0;24998068;5907;332;1441
16546;0;24998804;5907;332;1441
16727;0;24998804;5907;332;1441
16547;0;24998804;5907;332;1441
17075;0;24999244;5907;332;1441
16245;0;24999556;5907;332;1441
16815;55415;24999556;5907;332;1441
71968;0;24999996;5907;332;1441
5215;0;25000612;5907;332;1441
1910;0;25000612;5907;332;1441
3921;0;25000612;5907;332;1441
16914;0;25001116;5907;332;1441
16669;0;25001116;5907;332;1441
16762;0;25001116;5907;332;1441
16624;0;25001116;5907;332;1441
16636;0;25001116;5907;332;1441
16764;0;25001116;5907;332;1441
16662;0;25003324;5907;332;1441
16500;0;25002884;5907;332;1441
16773;0;25002884;5907;332;1441
16587;0;25002884;5907;332;1441
16685;0;25002884;5907;332;1441
16614;0;25002884;5907;332;1441
16905;0;25002884;5907;332;1441
16451;0;25002884;5907;332;1441
16814;0;25002884;5907;332;1441
16500;0;25002884;5907;332;1441
16742;0;25002884;5907;332;1441
16836;0;25002884;5907;332;1441
16518;0;25002884;5907;332;1441
16576;0;25002884;5907;332;1441
16769;0;25002884;5907;332;1441
16552;0;25003012;5907;332;1441
16755;0;25003012;5907;332;1441
16560;0;25001972;5907;332;1441
16790;0;25002412;5907;332;1441
16558;0;25001972;5907;332;1441
16756;0;25001972;5907;332;1441
16554;0;25001972;5907;332;1441
16863;0;25002164;5907;332;1441
16544;0;25001724;5907;332;1441
16936;0;25001380;5907;332;1441
16307;0;25000940;5907;332;1441
16791;0;25000940;5907;332;1441
16612;0;25000940;5907;332;1441
16640;0;25000940;5907;332;1441
16696;0;25000940;5907;332;1441
16675;0;25000940;5907;332;1441
16606;0;25000940;5907;332;1441
16773;0;25000940;5907;332;1441
16593;0;25000628;5907;332;1441
16692;0;25000188;5907;332;1441
16539;0;25000188;5907;332;1441
16882;0;25000188;5907;332;1441
16534;0;25000188;5907;332;1441
16811;0;25000188;5907;332;1441
16538;0;25000188;5907;332;1441
16707;0;25000188;5907;332;1441
16556;0;25000188;5907;332;1441
16838;0;25000188;5907;332;1441
16534;0;25000628;5907;332;1441
16798;0;25000188;5907;332;1441
16506;0;25000188;5907;332;1441
16952;0;25000188;5907;332;1441
16399;0;25000188;5907;332;1441
17034;0;25000188;5907;332;1441
16364;55403;25000188;5907;332;1441
72109;0;25001516;5907;332;1441
5247;0;25001516;5907;332;1441
1906;0;25001516;5907;332;1441
4171;0;25001516;5907;332;1441
16568;0;25001516;5907;332;1441
16642;0;25001516;5907;332;1441
16566;0;25001516;5907;332;1441
16827;0;25001516;5907;332;1441
16545;0;25001516;5907;332;1441
16850;0;25001516;5907;332;1441
16459;0;25001516;5907;332;1441
16656;0;25001516;5907;332;1441
16729;0;25001516;5907;332;1441
16659;0;25001516;5907;332;1441
16597;0;25001516;5907;332;1441
16866;0;25001956;5907;332;1441
16542;0;25001956;5907;332;1441
16721;0;25001956;5907;332;1441
16605;0;25002396;5907;332;1441
16803;0;25001956;5907;332;1441
16458;0;25001956;5907;332;1441
16881;0;25001956;5907;332;1441
16845;0;25001956;5907;332;1441
16484;0;25001956;5907;332;1441
16388;0;25001276;5907;332;1441
16870;0;25000836;5907;332;1441
16538;0;25003796;5907;332;1441
16812;0;25003796;5907;332;1441
16572;0;25003796;5907;332;1441
16727;0;25004108;5907;332;1441
16754;0;25004420;5907;332;1441
16680;0;25004420;5907;332;1441
16482;0;25004420;5907;332;1441
16840;0;25004548;5907;332;1441
16648;0;25004548;5907;332;1441
16641;0;25004548;5907;332;1441
16556;0;25002564;5907;332;1441
16760;0;25002564;5907;332;1441
16513;0;25002564;5907;332;1441
16818;0;25002564;5907;332;1441
16693;0;25002124;5907;332;1441
16691;0;25002124;5907;332;1441
16520;0;25002124;5907;332;1441
16754;0;25002564;5907;332;1441
16550;0;25002124;5907;332;1441
