Frame Time(us);Execution Time(us);Memory(bytes);State Size(bytes);Nodes;Objects
6887;0;23775587;313;333;1413
7036;0;23776171;313;333;1413
6923;0;23779195;313;333;1413
6930;0;23779779;313;333;1413
6921;0;23780363;313;333;1413
6944;0;23783459;313;333;1413
6979;0;23784043;313;333;1413
6900;0;23787067;313;333;1413
6968;0;23787651;313;333;1413
6945;0;23788235;313;333;1413
7719;0;23791259;313;333;1413
6277;0;23791843;313;333;1413
6878;0;23794867;313;333;1413
7251;0;23795451;313;333;1413
6625;0;23798475;313;333;1413
6952;0;23799059;313;333;1413
7081;0;23799643;313;333;1413
6791;0;23805547;313;333;1413
6977;0;23806131;313;333;1413
6989;0;23809227;313;333;1413
6986;0;23809811;313;333;1413
6813;0;23810395;313;333;1413
6910;0;23813419;313;333;1413
7113;0;23814003;313;333;1413
6890;0;23817027;313;333;1413
6883;0;23817611;313;333;1413
6923;0;23820635;313;333;1413
6958;0;23821219;313;333;1413
7008;0;23821803;313;333;1413
6979;0;23824827;313;333;1413
8166;0;23825411;313;333;1413
5620;0;23844819;313;333;1413
6961;0;23845403;313;333;1413
6956;0;23845987;313;333;1413
6914;0;23849011;313;333;1413
6964;0;23849595;313;333;1413
6897;0;23852619;313;333;1413
7043;0;23853203;313;333;1413
6981;0;23856227;313;333;1413
6806;0;23856811;313;333;1413
8310;0;23857395;313;333;1413
5568;0;23863299;313;333;1413
7107;0;23863883;313;333;1413
7183;0;23866907;313;333;1413
6683;0;23867491;313;333;1413
6907;0;23868075;313;333;1413
6866;0;23871099;313;333;1413
7035;0;23871755;313;333;1413
6845;0;23874779;313;333;1413
6953;1211;23936467;313;333;1413
9111;0;23939491;313;333;1413
4788;0;23940075;313;333;1413
7150;0;23940659;313;333;1413
7097;0;23943683;313;333;1413
6613;0;23944267;313;333;1413
6923;0;23947291;313;333;1413
6996;0;23947875;313;333;1413
6995;0;23948459;313;333;1413
6829;0;23951483;313;333;1413
7038;0;23952067;313;333;1413
8192;0;23955091;313;333;1413
5658;0;23955675;313;333;1413
6997;0;23958699;313;333;1413
7200;0;23959283;313;333;1413
6617;0;23959867;313;333;1413
6904;0;23965771;313;333;1413
6959;0;23966355;313;333;1413
7015;0;23969379;313;333;1413
6846;0;23969963;313;333;1413
6958;0;23970547;313;333;1413
7193;0;23973571;313;333;1413
6759;0;23974155;313;333;1413
7094;0;23977179;313;333;1413
7037;0;23977763;313;333;1413
6672;0;23980787;313;333;1413
6996;0;23981371;313;333;1413
6950;0;23981955;313;333;1413
6938;0;23984979;313;333;1413
6888;0;23985563;313;333;1413
6946;0;23988587;313;333;1413
6960;0;23989171;313;333;1413
6915;0;23989755;313;333;1413
6971;0;23992779;313;333;1413
7269;0;23993363;313;333;1413
6591;0;23996387;313;333;1413
6939;0;23996971;313;333;1413
6977;0;23999995;313;333;1413
6938;0;24000579;313;333;1413
6941;0;24001163;313;333;1413
6939;0;24007067;313;333;1413
7141;0;24007651;313;333;1413
6794;0;24010675;313;333;1413
6894;0;24011259;313;333;1413
7014;0;24011843;313;333;1413
6866;0;24014867;313;333;1413
6934;0;24015451;313;333;1413
6978;0;24018475;313;333;1413
6913;0;24019059;313;333;1413
7018;0;24022083;313;333;1413
6868;0;24022667;313;333;1413
8278;0;24023251;313;333;1413
5709;0;24026275;313;333;1413
6882;0;24026859;313;333;1413
7124;0;24029883;313;333;1413
6784;0;24030467;313;333;1413
6955;0;24031051;313;333;1413
6922;0;24034075;313;333;1413
6921;0;24034659;313;333;1413
6934;0;24037683;313;333;1413
7061;1993;24099371;313;333;1413
9000;0;24102395;313;333;1413
4739;0;24102979;313;333;1413
7008;0;24103563;313;333;1413
6955;0;24109467;313;333;1413
6959;0;24110051;313;333;1413
6913;0;24113075;313;333;1413
7022;0;24113659;313;333;1413
6830;0;24114243;313;333;1413
7012;0;24117267;313;333;1413
6923;0;24117851;313;333;1413
8233;0;24120875;313;333;1413
5610;0;24121459;313;333;1413
6950;0;24124483;313;333;1413
6939;0;24125067;313;333;1413
7010;0;24125651;313;333;1413
6943;0;24128675;313;333;1413
6905;0;24129259;313;333;1413
6960;0;24132283;313;333;1413
6967;0;24132867;313;333;1413
6936;0;24133451;313;333;1413
6942;0;24136475;313;333;1413
6913;0;24137059;313;333;1413
6952;0;24140083;313;333;1413
7027;0;24140667;313;333;1413
6867;0;24143691;313;333;1413
6936;0;24144275;313;333;1413
6989;0;24144859;313;333;1413
6903;0;24150763;313;333;1413
6910;0;24151347;313;333;1413
6985;0;24154371;313;333;1413
7065;0;24154955;313;333;1413
6788;0;24155539;313;333;1413
6997;0;24158563;313;333;1413
7154;0;24159147;313;333;1413
6682;0;24162171;313;333;1413
7001;0;24162755;313;333;1413
6902;0;24165779;313;333;1413
6930;0;24166363;313;333;1413
6992;0;24166947;313;333;1413
6913;0;24169971;313;333;1413
7023;0;24170555;313;333;1413
6870;0;24173579;313;333;1413
6926;0;24174163;313;333;1413
7120;0;24174747;313;333;1413
6774;0;24177771;313;333;1413
7011;0;24178355;313;333;1413
6908;0;24181379;313;333;1413
6922;0;24181963;313;333;1413
6939;0;24184987;313;333;1413
6980;0;24185571;313;333;1413
7058;0;24186155;313;333;1413
6794;0;24192059;313;333;1413
7086;0;24192643;313;333;1413
7135;0;24195667;313;333;1413
6748;0;24196251;313;333;1413
6851;0;24196835;313;333;1413
6924;0;24199859;313;333;1413
6926;0;24200443;313;333;1413
6976;0;24203467;313;333;1413
6924;1351;24265155;313;333;1413
8438;0;24268179;313;333;1413
5410;0;24268763;313;333;1413
7050;0;24269347;313;333;1413
6980;0;24272371;313;333;1413
6816;0;24272955;313;333;1413
6977;0;24275979;313;333;1413
6939;0;24276563;313;333;1413
7062;0;24277147;313;333;1413
6770;0;24280171;313;333;1413
6981;0;24280755;313;333;1413
6983;0;24283779;313;333;1413
7050;0;24284363;313;333;1413
7046;0;24287387;313;333;1413
6671;0;24287971;313;333;1413
6969;0;24288555;313;333;1413
6994;0;24294531;313;333;1413
7036;0;24295115;313;333;1413
6902;0;24298139;313;333;1413
6918;0;24298723;313;333;1413
6939;0;24299307;313;333;1413
7681;0;24302331;313;333;1413
6284;0;24302915;313;333;1413
7063;0;24305939;313;333;1413
6837;0;24306523;313;333;1413
6816;0;24309547;313;333;1413
6947;0;24310131;313;333;1413
6964;0;24310715;313;333;1413
6898;0;24313739;313;333;1413
6955;0;24314323;313;333;1413
6954;0;24317419;313;333;1413
7085;0;24318003;313;333;1413
6800;0;24318587;313;333;1413
6931;0;24321611;313;333;1413
7059;0;24322195;313;333;1413
6900;0;24325219;313;333;1413
6921;0;24325803;313;333;1413
7001;0;24328827;313;333;1413
6808;0;24329411;313;333;1413
7027;0;24329995;313;333;1413
6878;0;24335899;313;333;1413
8256;0;24336483;313;333;1413
5705;0;24339507;313;333;1413
6867;0;24340091;313;333;1413
7274;0;24340747;313;333;1413
6672;0;24343771;313;333;1413
6928;0;24344355;313;333;1413
7057;0;24347379;313;333;1413
6994;0;24347963;313;333;1413
6864;0;24350987;313;333;1413
6880;0;24351571;313;333;1413
8199;0;24352155;313;333;1413
5814;0;24355179;313;333;1413
6840;0;24355763;313;333;1413
6899;0;24358787;313;333;1413
7005;0;24359371;313;333;1413
6903;0;24359955;313;333;1413
6948;0;24362979;313;333;1413
6998;0;24363635;313;333;1413
6874;0;24366659;313;333;1413
6968;1036;24428347;313;333;1413
9219;0;24431371;313;333;1413
4611;0;24431955;313;333;1413
6966;0;24432539;313;333;1413
7253;0;24438443;313;333;1413
6663;0;24439027;313;333;1413
6966;0;24442051;313;333;1413
6911;0;24442635;313;333;1413
6956;0;24443219;313;333;1413
6920;0;24446243;313;333;1413
6926;0;24446827;313;333;1413
8247;0;24449851;313;333;1413
5668;0;24450435;313;333;1413
6937;0;24453459;313;333;1413
7215;0;24454043;313;333;1413
6721;0;24454627;313;333;1413
6936;0;24457651;313;333;1413
6996;0;24458235;313;333;1413
6903;0;24461259;313;333;1413
6912;0;24461843;313;333;1413
7173;0;24462427;313;333;1413
6967;0;24465451;313;333;1413
6718;0;24466035;313;333;1413
6932;0;24469059;313;333;1413
7195;0;24469643;313;333;1413
6741;0;24472667;313;333;1413
6833;0;24473251;313;333;1413
7076;0;24473835;313;333;1413
6901;0;24479739;313;333;1413
6937;0;24480323;313;333;1413
6900;0;24483347;313;333;1413
6939;0;24483931;313;333;1413
7008;0;24484515;313;333;1413
6917;0;24487539;313;333;1413
7246;0;24488123;313;333;1413
6659;0;24491147;313;333;1413
6881;0;24491731;313;333;1413
6965;0;24494755;313;333;1413
6937;0;24495339;313;333;1413
6980;0;24495923;313;333;1413
6886;0;24498947;313;333;1413
6983;0;24499531;313;333;1413
6970;0;24502555;313;333;1413
6919;0;24503139;313;333;1413
7250;0;24503723;313;333;1413
6778;0;24506747;313;333;1413
6817;0;24507331;313;333;1413
7016;0;24510355;313;333;1413
7375;0;24510939;313;333;1413
6484;0;24513963;313;333;1413
6918;0;24514547;313;333;1413
7128;0;24515131;313;333;1413
6784;0;24521035;313;333;1413
6906;0;24521619;313;333;1413
7069;0;24524643;313;333;1413
6801;0;24525227;313;333;1413
6941;0;24525811;313;333;1413
6951;0;24528835;313;333;1413
6974;0;24529419;313;333;1413
6862;0;24532443;313;333;1413
